kanji,meanings,kun,on,level
勺,"ladle,one tenth of a go,dip",かがりび,シャク,n1
蓉,lotus,かがりび,ヨウ,n1
蓉,lotus,かがりび,ヨウ,n1
衿,"neck,collar,lapel",えり,"キン,コン",n1
茄,eggplant,えり,カ,n1
叡,"intelligence,imperial",あき.らか,エイ,n1
紗,"gauze,gossamer",うすぎぬ,"サ,シャ",n1
眸,pupil of the eye,ひとみ,"ボウ,ム",n1
哉,"how,what,alas,question mark,exclamation mark","かな,や",サイ,n1
晟,clear,あきらか,"セイ,ジョウ",n1
莉,jasmine,あきらか,"リ,ライ,レイ",n1
誼,"friendship,intimacy","よしみ,よい",ギ,n1
玖,"beautiful black jewel,nine","よしみ,よい","キュウ,ク",n1
銑,pig iron,"よしみ,よい",セン,n1
柾,"straight grain,spindle tree,(kokuji)","まさ,まさめ,まさき",セン,n1
燿,shine,"かがや.く,ひかり",ヨウ,n1
袈,a coarse camlet,"かがや.く,ひかり","ケ,カ",n1
頌,eulogy,"かたち,たた.える,ほめ.る","ショウ,ジュ,ヨウ",n1
晏,"late,quiet,sets (sun)",おそ.い,アン,n1
昴,the Pleiades,すばる,"コウ,ボウ",n1
錘,"weight,plumb bob,sinker,spindle","つむ,おもり",スイ,n1
楓,maple,かえで,フウ,n1
燿,shine,"かがや.く,ひかり",ヨウ,n1
茉,jasmine,"かがや.く,ひかり","マツ,バツ,マ",n1
諄,tedious,"ひちくど.い,くど.い,くどくど,ねんご.ろ",シュン,n1
瑳,"polish,brilliant white luster of a gem,artful smile",みが.く,サ,n1
昴,the Pleiades,すばる,"コウ,ボウ",n1
鞠,ball,まり,"キク,キュウ",n1
爾,"you,thou,second person","なんじ,しかり,その,のみ,おれ,しか","ジ,ニ",n1
柊,holly,ひいらぎ,"シュ,シュウ",n1
捺,"press,print,affix a seal,stamp","さ.す,お.す","ナツ,ダツ",n1
脹,"dilate,distend,bulge,fill out,swell","は.れる,ふく.らむ,ふく.れる",チョウ,n1
菫,the violet,すみれ,キン,n1
凜,"cold,strict,severe",きびし.い,リン,n1
党,"party,faction,clique","なかま,むら",トウ,n2
村,"village,town",むら,ソン,n2
協,"co-,cooperation",むら,キョウ,n2
委,"committee,entrust to,leave to,devote,discard",ゆだ.ねる,イ,n2
改,"reformation,change,modify,mend,renew,examine,inspect,search","あらた.める,あらた.まる",カイ,n2
竹,bamboo,たけ,チク,n2
区,"ward,district",たけ,"ク,オウ,コウ",n2
県,prefecture,か.ける,ケン,n2
総,"general,whole,all,full,total","す.べて,すべ.て,ふさ",ソウ,n2
府,"borough,urban prefecture,govt office,representative body,storehouse","す.べて,すべ.て,ふさ",フ,n2
領,"jurisdiction,dominion,territory,fief,reign",えり,リョウ,n2
算,"calculate,divining,number,abacus,probability",そろ,サン,n2
設,"establishment,provision,prepare",もう.ける,セツ,n2
島,island,しま,トウ,n2
玉,"jewel,ball","たま,たま-,-だま",ギョク,n2
軍,"army,force,troops,war,battle",いくさ,グン,n2
線,"line,track",すじ,セン,n2
森,"forest,woods",もり,シン,n2
査,investigate,もり,サ,n2
各,"each,every,either",おのおの,カク,n2
林,"grove,forest",はやし,リン,n2
谷,valley,"たに,きわ.まる",コク,n2
団,"group,association","かたまり,まる.い","ダン,トン",n2
細,"dainty,get thin,taper,slender,narrow,detailed,precise","ほそ.い,ほそ.る,こま.か,こま.かい",サイ,n2
丸,"round,full (month),perfection,-ship,pills,make round,roll up,curl up,seduce,explain away","まる,まる.める,まる.い",ガン,n2
戸,"door,counter for houses,door radical (no. 63)",と,コ,n2
農,"agriculture,farmers",と,ノウ,n2
州,"state,province",す,"シュウ,ス",n2
勢,"forces,energy,military strength","いきお.い,はずみ","セイ,ゼイ",n2
減,"dwindle,decrease,reduce,decline,curtail,get hungry","へ.る,へ.らす",ゲン,n2
虫,"insect,bug,temper",むし,"チュウ,キ",n2
門,"gate,counter for cannons","かど,と",モン,n2
再,"again,twice,second time",ふたた.び,"サイ,サ",n2
副,"vice-,assistant,aide,duplicate,copy",ふたた.び,フク,n2
税,"tax,duty",ふたた.び,ゼイ,n2
糸,thread,いと,シ,n2
革,"leather,skin,reform,become serious",かわ,カク,n2
羽,"feathers,counter for birdsrabbits","は,わ,はね",ウ,n2
営,"occupation,camp,perform,build,conduct (business)","いとな.む,いとな.み",エイ,n2
階,"storey,stair,counter for storeys of a building",きざはし,カイ,n2
岩,"boulder,rock,cliff",いわ,ガン,n2
象,"elephant,pattern after,imitate,image,shape,sign (of the times)",かたど.る,"ショウ,ゾウ",n2
角,"angle,corner,square,horn,antlers","かど,つの",カク,n2
比,"compare,race,ratio,Philippines",くら.べる,ヒ,n2
防,"ward off,defend,protect,resist",ふせ.ぐ,ボウ,n2
橋,bridge,はし,キョウ,n2
岸,beach,きし,ガン,n2
星,"star,spot,dot,mark","ほし,-ぼし","セイ,ショウ",n2
賞,"prize,reward,praise",ほ.める,ショウ,n2
辺,"environs,boundary,border,vicinity","あた.り,ほと.り,-べ",ヘン,n2
境,"boundary,border,region",さかい,"キョウ,ケイ",n2
央,"center,middle",さかい,オウ,n2
寺,Buddhist temple,てら,ジ,n2
導,"guidance,leading,conduct,usher",みちび.く,ドウ,n2
貝,shellfish,かい,バイ,n2
課,"chapter,lesson,section,department,division,counter for chapters (of a book)",かい,カ,n2
極,"poles,settlement,conclusion,end,highest rank,electric poles,very,extremely,most,highly,10**48","きわ.める,きわ.まる,きわ.まり,きわ.み,き.める,-ぎ.め,き.まる","キョク,ゴク",n2
輸,"transport,send,be inferior","きわ.める,きわ.まる,きわ.まり,きわ.み,き.める,-ぎ.め,き.まる","ユ,シュ",n2
根,"root,radical,head (pimple)","ね,-ね",コン,n2
量,"quantity,measure,weight,amount,consider,estimate,surmise",はか.る,リョウ,n2
述,"mention,state,speak,relate",の.べる,ジュツ,n2
型,"mould,type,model","かた,-がた",ケイ,n2
武,"warrior,military,chivalry,arms","たけ,たけ.し","ブ,ム",n2
補,"supplement,supply,make good,offset,compensate,assistant,learner",おぎな.う,ホ,n2
鉄,iron,くろがね,テツ,n2
額,"forehead,tablet,plaque,framed picture,sum,amount,volume",ひたい,ガク,n2
史,"history,chronicle",ひたい,シ,n2
管,"pipe,tube,wind instrument,drunken talk,control,jurisdiction",くだ,カン,n2
油,"oil,fat",あぶら,"ユ,ユウ",n2
兵,"soldier,private,troops,army,warfare,strategy,tactics",つわもの,"ヘイ,ヒョウ",n2
植,plant,"う.える,う.わる",ショク,n2
準,"semi-,correspond to,proportionate to,conform,imitate","じゅん.じる,じゅん.ずる,なぞら.える,のり,ひと.しい,みずもり",ジュン,n2
倍,"double,twice,times,fold","じゅん.じる,じゅん.ずる,なぞら.える,のり,ひと.しい,みずもり",バイ,n2
造,"create,make,structure,physique","つく.る,つく.り,-づく.り",ゾウ,n2
技,"skill,art,craft,ability,feat,performance,vocation,arts",わざ,ギ,n2
録,record,"しる.す,と.る",ロク,n2
復,"restore,return to,revert,resume",また,フク,n2
省,"focus,government ministry,conserve","かえり.みる,はぶ.く","セイ,ショウ",n2
波,"waves,billows,Poland",なみ,ハ,n2
移,"shift,move,change,drift,catch (coldfire),pass into","うつ.る,うつ.す",イ,n2
周,"circumference,circuit,lap",まわ.り,シュウ,n2
個,"individual,counter for articles",まわ.り,"コ,カ",n2
材,"lumber,log,timber,wood,materials,ingredients,talent",まわ.り,ザイ,n2
毛,"fur,hair,feather,down",け,モウ,n2
練,"practice,gloss,train,drill,polish,refine","ね.る,ね.り",レン,n2
域,"range,region,limits,stage,level","ね.る,ね.り",イキ,n2
競,"emulate,compete with,bid,sell at auction,bout,contest,race","きそ.う,せ.る,くら.べる","キョウ,ケイ",n2
黄,yellow,"き,こ-","コウ,オウ",n2
池,"pond,cistern,pool,reservoir",いけ,チ,n2
血,blood,ち,ケツ,n2
雲,cloud,"くも,-ぐも",ウン,n2
温,warm,"あたた.か,あたた.かい,あたた.まる,あたた.める,ぬく",オン,n2
歴,"curriculum,continuation,passage of time","あたた.か,あたた.かい,あたた.まる,あたた.める,ぬく","レキ,レッキ",n2
担,"shouldering,carry,raise,bear","かつ.ぐ,にな.う",タン,n2
庫,"warehouse,storehouse",くら,"コ,ク",n2
坂,"slope,incline,hill",さか,ハン,n2
低,"lower,short,humble","ひく.い,ひく.める,ひく.まる",テイ,n2
接,"touch,contact,adjoin,piece together",つ.ぐ,"セツ,ショウ",n2
航,"navigate,sail,cruise,fly",つ.ぐ,コウ,n2
効,"merit,efficacy,efficiency,benefit","き.く,ききめ,なら.う",コウ,n2
児,"newborn babe,child,young of animals","こ,-こ,-っこ","ジ,ニ,ゲイ",n2
印,"stamp,seal,mark,imprint,symbol,emblem,trademark,evidence,souvenir,India","しるし,-じるし,しる.す",イン,n2
旧,"old times,old things,old friend,former,ex-","ふる.い,もと",キュウ,n2
脳,"brain,memory",のうずる,"ノウ,ドウ",n2
輪,"wheel,ring,circle,link,loop,counter for wheels and flowers",わ,リン,n2
板,"plank,board,plate,stage",いた,"ハン,バン",n2
蔵,"storehouse,hide,own,have,possess","くら,おさ.める,かく.れる","ゾウ,ソウ",n2
清,"pure,purify,cleanse,exorcise,Manchu dynasty","きよ.い,きよ.まる,きよ.める","セイ,ショウ,シン",n2
億,"hundred million,10**8","きよ.い,きよ.まる,きよ.める",オク,n2
弱,"weak,frail","よわ.い,よわ.る,よわ.まる,よわ.める",ジャク,n2
芸,"technique,art,craft,performance,acting,trick,stunt","う.える,のり,わざ","ゲイ,ウン",n2
券,ticket,"う.える,のり,わざ",ケン,n2
停,"halt,stopping","と.める,と.まる",テイ,n2
陸,"land,six",おか,"リク,ロク",n2
編,"compilation,knit,plait,braid,twist,editing,completed poem,part of a book","あ.む,-あ.み",ヘン,n2
章,"badge,chapter,composition,poem,design","あ.む,-あ.み",ショウ,n2
帯,"sash,belt,obi,zone,region","お.びる,おび",タイ,n2
固,"harden,set,clot,curdle","かた.める,かた.まる,かた.まり,かた.い",コ,n2
針,"needle,pin,staple,stinger",はり,シン,n2
採,"pick,take,fetch,take up",と.る,サイ,n2
専,"specialty,exclusive,mainly,solely",もっぱ.ら,セン,n2
秒,second (1/60 minute),もっぱ.ら,ビョウ,n2
囲,"surround,besiege,store,paling,enclosure,encircle,preserve,keep","かこ.む,かこ.う,かこ.い",イ,n2
卒,"graduate,soldier,private,die","そっ.する,お.える,お.わる,ついに,にわか","ソツ,シュツ",n2
短,"short,brevity,fault,defect,weak point",みじか.い,タン,n2
順,"obey,order,turn,right,docility,occasion",みじか.い,ジュン,n2
患,"afflicted,disease,suffer from,be ill",わずら.う,カン,n2
令,"orders,laws,command,decree,good",わずら.う,レイ,n2
麦,"barley,wheat",むぎ,バク,n2
貿,"trade,exchange",むぎ,ボウ,n2
講,"lecture,club,association",むぎ,コウ,n2
皮,"pelt,skin,hide,leather,skin radical (no. 107)",かわ,ヒ,n2
貨,"freight,goods,property",たから,カ,n2
河,river,かわ,カ,n2
柱,"pillar,post,cylinder,support",はしら,チュウ,n2
欧,Europe,"うた.う,は.く",オウ,n2
季,seasons,"うた.う,は.く",キ,n2
祭,"ritual,offer prayers,celebrate,deify,enshrine,worship","まつ.る,まつ.り,まつり",サイ,n2
筆,"writing brush,writing,painting brush,handwriting",ふで,ヒツ,n2
禁,"prohibition,ban,forbid",ふで,キン,n2
童,"juvenile,child",わらべ,ドウ,n2
逆,"inverted,reverse,opposite,wicked","さか,さか.さ,さか.らう","ギャク,ゲキ",n2
香,"incense,smell,perfume","か,かお.り,かお.る","コウ,キョウ",n2
久,"long time,old story",ひさ.しい,"キュウ,ク",n2
被,"incur,cover,veil,brood over,shelter,wear,put on,be exposed (film),receiving","こうむ.る,おお.う,かぶ.る,かぶ.せる",ヒ,n2
暴,"outburst,rave,fret,force,violence,cruelty,outrage","あば.く,あば.れる","ボウ,バク",n2
底,"bottom,sole,depth,bottom price,base,kind,sort",そこ,テイ,n2
緑,green,みどり,"リョク,ロク",n2
軽,"lightly,trifling,unimportant","かる.い,かろ.やか,かろ.んじる","ケイ,キョウ,キン",n2
均,"level,average",なら.す,キン,n2
希,"hope,beg,request,pray,beseech,Greece,dilute (acid),rare,few,phenomenal","まれ,こいねが.う","キ,ケ",n2
圧,"pressure,push,overwhelm,oppress,dominate","お.す,へ.す,おさ.える,お.さえる","アツ,エン,オウ",n2
並,"row,and,besides,as well as,line up,rank with,rival,equal","な.み,なみ,なら.べる,なら.ぶ,なら.びに","ヘイ,ホウ",n2
籍,"enroll,domiciliary register,membership","な.み,なみ,なら.べる,なら.ぶ,なら.びに",セキ,n2
仲,"go-between,relationship",なか,チュウ,n2
栄,"flourish,prosperity,honor,glory,splendor","さか.える,は.え,-ば.え,は.える,え","エイ,ヨウ",n2
札,"tag,paper money,counter for bonds,placard,bid",ふだ,サツ,n2
荷,"baggage,shoulder-pole load,bear (a burden),shoulder (a gun),load,cargo,freight",に,カ,n2
含,"contain,include,hold in the mouth,bear in mind,understand,cherish","ふく.む,ふく.める",ガン,n2
則,"rule,follow,based on,model after",のっと.る,ソク,n2
将,"leader,commander,general,admiral,or,and again,soon,from now on,just about","まさ.に,はた,まさ,ひきい.る,もって","ショウ,ソウ",n2
測,"fathom,plan,scheme,measure",はか.る,ソク,n2
豊,"bountiful,excellent,rich","ゆた.か,とよ","ホウ,ブ",n2
跡,"tracks,mark,print,impression",あと,セキ,n2
包,"wrap,pack up,cover,conceal","つつ.む,くる.む",ホウ,n2
厚,"thick,heavy,rich,kind,cordial,brazen,shameless","あつ.い,あか",コウ,n2
略,"abbreviation,omission,outline,shorten,capture,plunder","ほぼ,はぶ.く,おか.す,おさ.める,はかりごと,はか.る",リャク,n2
承,"acquiesce,hear,listen to,be informed,receive","うけたまわ.る,う.ける","ショウ,ジョウ",n2
況,"condition,situation","まし.て,いわ.んや,おもむき",キョウ,n2
炭,"charcoal,coal",すみ,タン,n2
焼,"bake,burning","や.く,や.き,や.き-,-や.き,や.ける",ショウ,n2
装,"attire,dress,pretend,disguise,profess","よそお.う,よそお.い","ソウ,ショウ",n2
諸,"various,many,several,together",もろ,ショ,n2
劇,"drama,play",もろ,ゲキ,n2
版,"printing block,printing plate,edition,impression,label",もろ,ハン,n2
照,"illuminate,shine,compare,bashful","て.る,て.らす,て.れる",ショウ,n2
湖,lake,みずうみ,コ,n2
損,"damage,loss,disadvantage,hurt,injure","そこ.なう,そこな.う,-そこ.なう,そこ.ねる,-そこ.ねる",ソン,n2
湯,"hot water,bath,hot spring",ゆ,トウ,n2
仏,"Buddha,the dead,France",ほとけ,"ブツ,フツ",n2
績,"exploits,achievements,unreeling cocoons",ほとけ,セキ,n2
築,"fabricate,build,construct",きず.く,チク,n2
混,"mix,blend,confuse","ま.じる,-ま.じり,ま.ざる,ま.ぜる,こ.む",コン,n2
永,"eternity,long,lengthy",なが.い,エイ,n2
刊,"publish,carve,engrave",なが.い,カン,n2
像,"statue,picture,image,figure,portrait",なが.い,ゾウ,n2
署,"signature,govt office,police station",なが.い,ショ,n2
氷,"icicle,ice,hail,freeze,congeal","こおり,ひ,こお.る",ヒョウ,n2
湾,"gulf,bay,inlet",いりえ,ワン,n2
漁,"fishing,fishery",あさ.る,"ギョ,リョウ",n2
布,"linen,cloth,spread,distribute","ぬの,し.く,きれ","フ,ホ",n2
貯,"savings,store,lay in,keep,wear mustache","た.める,たくわ.える",チョ,n2
拾,"pick up,gather,find,go on foot,ten",ひろ.う,"シュウ,ジュウ",n2
延,"prolong,stretching","の.びる,の.べる,の.べ,の.ばす",エン,n2
乱,"riot,war,disorder,disturb","みだ.れる,みだ.る,みだ.す,みだ,おさ.める,わた.る","ラン,ロン",n2
訓,"instruction,Japanese character reading,explanation,read","おし.える,よ.む,くん.ずる","クン,キン",n2
浴,"bathe,be favored with,bask in","あ.びる,あ.びせる",ヨク,n2
複,"duplicate,double,compound,multiple","あ.びる,あ.びせる",フク,n2
塩,salt,しお,エン,n2
兆,"portent,10**12,trillion,sign,omen,symptoms","きざ.す,きざ.し",チョウ,n2
捜,"search,look for,locate",さが.す,"ソウ,シュ,シュウ",n2
祝,"celebrate,congratulate",いわ.う,"シュク,シュウ",n2
燃,"burn,blaze,glow","も.える,も.やす,も.す",ネン,n2
庁,government office,やくしょ,"チョウ,テイ",n2
城,castle,しろ,"ジョウ,セイ",n2
超,"transcend,super-,ultra-","こ.える,こ.す",チョウ,n2
療,"heal,cure","こ.える,こ.す",リョウ,n2
層,"stratum,social class,layer,story,floor","こ.える,こ.す",ソウ,n2
衣,"garment,clothes,dressing","ころも,きぬ,-ぎ","イ,エ",n2
裏,"back,amidst,in,reverse,inside,palm,sole,rear,lining,wrong side",うら,リ,n2
鼻,"nose,snout",はな,ビ,n2
預,"deposit,custody,leave with,entrust to","あず.ける,あず.かる",ヨ,n2
介,"jammed in,shellfish,mediate,concern oneself with","あず.ける,あず.かる",カイ,n2
臣,"retainer,subject","あず.ける,あず.かる","シン,ジン",n2
浅,"shallow,superficial,frivolous,wretched,shameful",あさ.い,セン,n2
販,"marketing,sell,trade",あさ.い,ハン,n2
群,"flock,group,crowd,herd,swarm,cluster","む.れる,む.れ,むら,むら.がる",グン,n2
著,"renowned,publish,write,remarkable,phenomenal,put on,don,wear,arrival,finish (race),counter for suits of clothing,literary work","あらわ.す,いちじる.しい","チョ,チャク",n2
誌,"document,records","あらわ.す,いちじる.しい",シ,n2
幅,"hanging scroll,width",はば,フク,n2
般,"carrier,carry,all,general,sort,kind",はば,ハン,n2
勇,"courage,cheer up,be in high spirits,bravery,heroism",いさ.む,ユウ,n2
械,"contraption,fetter,machine,instrument",かせ,カイ,n2
宇,"eaves,roof,house,heaven",かせ,ウ,n2
快,"cheerful,pleasant,agreeable,comfortable",こころよ.い,カイ,n2
刷,"printing,print,brush","す.る,-ず.り,-ずり,は.く",サツ,n2
皿,"dish,a helping,plate",さら,ベイ,n2
枚,"sheet of...,counter for flat thin objects or sheets",さら,"マイ,バイ",n2
換,"interchange,period,change,convert,replace,renew","か.える,-か.える,か.わる",カン,n2
郵,"mail,stagecoach stop","か.える,-か.える,か.わる",ユウ,n2
孫,"grandchild,descendants",まご,ソン,n2
占,"fortune-telling,divining,forecasting,occupy,hold,have,get,take","し.める,うらな.う",セン,n2
骨,"skeleton,bone,remains,frame",ほね,コツ,n2
届,"deliver,reach,arrive,report,notify,forward","とど.ける,-とど.け,とど.く",カイ,n2
巻,"scroll,volume,book,part,roll up,wind up,tie,coil,counter for texts (or book scrolls)","ま.く,まき,ま.き","カン,ケン",n2
毒,"poison,virus,venom,germ,harm,injury,spite","ま.く,まき,ま.き",ドク,n2
伸,"expand,stretch,extend,lengthen,increase","の.びる,の.ばす,の.べる,の.す",シン,n2
爆,"bomb,burst open,pop,split",は.ぜる,バク,n2
簡,"simplicity,brevity","えら.ぶ,ふだ","カン,ケン",n2
粉,"flour,powder,dust","デシメートル,こ,こな",フン,n2
臓,"entrails,viscera,bowels",はらわた,ゾウ,n2
律,"rhythm,law,regulation,gauge,control",はらわた,"リツ,リチ,レツ",n2
液,"fluid,liquid,juice,sap,secretion",はらわた,エキ,n2
普,"universal,wide(ly),generally,Prussia","あまね.く,あまねし",フ,n2
瓶,"bottle,vial,jar,jug,vat,urn","かめ,へい",ビン,n2
齢,age,"よわい,とし",レイ,n2
缶,"tin can,container,jar radical (no. 121)",かま,カン,n2
隻,"vessels,counter for ships,fish,birds,arrows,one of a pair",かま,セキ,n2
純,"genuine,purity,innocence,net (profit)",かま,ジュン,n2
了,"complete,finish",かま,リョウ,n2
灯,"lamp,a light,light,counter for lights","ひ,ほ-,ともしび,とも.す,あかり",トウ,n2
翌,"the following,next","ひ,ほ-,ともしび,とも.す,あかり",ヨク,n2
絡,"entwine,coil around,get caught in","から.む,から.まる",ラク,n2
片,"one-sided,leaf,sheet,right-side kata radical (no. 91)","かた-,かた",ヘン,n2
敬,"awe,respect,honor,revere",うやま.う,"ケイ,キョウ",n2
募,"recruit,campaign,gather (contributions),enlist,grow violent",つの.る,ボ,n2
泉,"spring,fountain",いずみ,セン,n2
胃,"stomach,paunch,crop,craw",いずみ,イ,n2
昇,rise up,のぼ.る,ショウ,n2
宝,"treasure,wealth,valuables",たから,ホウ,n2
胸,"bosom,breast,chest,heart,feelings","むね,むな-",キョウ,n2
砂,sand,すな,"サ,シャ",n2
鉱,"mineral,ore",あらがね,コウ,n2
枝,"bough,branch,twig,limb,counter for branches",えだ,シ,n2
尊,"revered,valuable,precious,noble,exalted","たっと.い,とうと.い,たっと.ぶ,とうと.ぶ",ソン,n2
巨,"gigantic,big,large,great","たっと.い,とうと.い,たっと.ぶ,とうと.ぶ",キョ,n2
震,"quake,shake,tremble,quiver,shiver","ふる.う,ふる.える,ふる.わせる,ふる.わす",シン,n2
触,"contact,touch,feel,hit,proclaim,announce,conflict","ふ.れる,さわ.る,さわ",ショク,n2
依,"reliant,depend on,consequently,therefore,due to",よ.る,"イ,エ",n2
汚,"dirty,pollute,disgrace,rape,defile","けが.す,けが.れる,けが.らわしい,よご.す,よご.れる,きたな.い",オ,n2
幼,"infancy,childhood",おさな.い,ヨウ,n2
綿,cotton,わた,メン,n2
傾,"lean,incline,tilt,trend,wane,sink,ruin,bias","かたむ.く,かたむ.ける,かたぶ.く,かた.げる,かし.げる",ケイ,n2
銅,copper,あかがね,ドウ,n2
捨,"discard,throw away,abandon,resign,reject,sacrifice",す.てる,シャ,n2
駐,"stop-over,reside in,resident",す.てる,チュウ,n2
紹,"introduce,inherit,help",す.てる,ショウ,n2
乳,"milk,breasts","ちち,ち",ニュウ,n2
紅,"crimson,deep red","べに,くれない,あか.い","コウ,ク",n2
雇,"employ,hire",やと.う,コ,n2
替,"exchange,spare,substitute,per-","か.える,か.え-,か.わる",タイ,n2
耕,"till,plow,cultivate",たがや.す,コウ,n2
冊,"tome,counter for books,volume",ふみ,"サツ,サク",n2
菜,"vegetable,side dish,greens",な,サイ,n2
贈,"presents,send,give to,award to,confer on,presenting something",おく.る,"ゾウ,ソウ",n2
卵,"egg,ovum,spawn,roe",たまご,ラン,n2
薄,"dilute,thin,weak (tea),pampas grass","うす.い,うす-,-うす,うす.める,うす.まる,うす.らぐ,うす.ら-,うす.れる,すすき",ハク,n2
干,"dry,parch,ebb,recede,interfere,intercede","ほ.す,ほ.し-,-ぼ.し,ひ.る",カン,n2
奥,"heart,interior","おく,おく.まる,くま",オウ,n2
詰,"packed,close,pressed,reprove,rebuke,blame","つ.める,つ.め,-づ.め,つ.まる,つ.む","キツ,キチ",n2
双,"pair,set,comparison,counter for pairs","ふた,たぐい,ならぶ,ふたつ",ソウ,n2
刺,"thorn,pierce,stab,prick,sting,calling card","さ.す,さ.さる,さ.し,さし,とげ",シ,n2
拝,"worship,adore,pray to","おが.む,おろが.む",ハイ,n2
悩,"trouble,worry,in pain,distress,illness","なや.む,なや.ます,なや.ましい,なやみ",ノウ,n2
棒,"rod,stick,cane,pole,club,line","なや.む,なや.ます,なや.ましい,なやみ",ボウ,n2
荒,"laid waste,rough,rude,wild","あ.らす,あ.れる,あら.い,すさ.ぶ,すさ.む,あ.らし",コウ,n2
硬,"stiff,hard",かた.い,コウ,n2
埋,"bury,be filled up,embedded","う.める,う.まる,う.もれる,うず.める,うず.まる,い.ける",マイ,n2
袋,"sack,bag,pouch",ふくろ,"タイ,ダイ",n2
封,"seal,closing",ふくろ,"フウ,ホウ",n2
賢,"intelligent,wise,wisdom,cleverness",かしこ.い,ケン,n2
腕,"arm,ability,talent",うで,ワン,n2
蒸,"steam,heat,sultry,foment,get musty","む.す,む.れる,む.らす","ジョウ,セイ",n2
床,"bed,counter for beds,floor,padding,tatami","とこ,ゆか",ショウ,n2
柔,"tender,weakness,gentleness,softness","やわ.らか,やわ.らかい,やわ,やわ.ら","ジュウ,ニュウ",n2
殿,"Mr.,hall,mansion,palace,temple,lord","との,-どの","デン,テン",n2
濃,"concentrated,thick,dark,undiluted",こ.い,ノウ,n2
肩,shoulder,かた,ケン,n2
零,"zero,spill,overflow,nothing,cipher","ぜろ,こぼ.す,こぼ.れる",レイ,n2
詞,"part of speech,words,poetry",ことば,シ,n2
泊,"overnight stay,put up at,ride at anchor","と.まる,と.める",ハク,n2
甘,"sweet,coax,pamper,be content,sugary","あま.い,あま.える,あま.やかす,うま.い",カン,n2
机,"desk,table",つくえ,キ,n2
掃,"sweep,brush",は.く,"ソウ,シュ",n2
掘,"dig,delve,excavate",ほ.る,クツ,n2
軟,soft,"やわ.らか,やわ.らかい",ナン,n2
沈,"sink,be submerged,subside,be depressed,aloes","しず.む,しず.める","チン,ジン",n2
凍,"frozen,congeal,refrigerate","こお.る,こご.える,こご.る,い.てる,し.みる",トウ,n2
灰,"ashes,puckery juice,cremate",はい,カイ,n2
恋,"romance,in love,yearn for,miss,darling","こ.う,こい,こい.しい",レン,n2
郊,"outskirts,suburbs,rural area","こ.う,こい,こい.しい",コウ,n2
腰,"loins,hips,waist,low wainscoting",こし,ヨウ,n2
踊,"jump,dance,leap,skip",おど.る,ヨウ,n2
珍,"rare,curious,strange","めずら.しい,たから",チン,n2
喫,"consume,eat,drink,smoke,receive (a blow)",の.む,キツ,n2
溶,"melt,dissolve,thaw","と.ける,と.かす,と.く",ヨウ,n2
涙,"tears,sympathy",なみだ,"ルイ,レイ",n2
匹,"equal,head,counter for small animals,roll of cloth",ひき,ヒツ,n2
鋭,"pointed,sharpness,edge,weapon,sharp,violent",するど.い,エイ,n2
塗,"paint,plaster,daub,smear,coating","ぬ.る,ぬ.り,まみ.れる",ト,n2
軒,"flats,counter for houses,eaves",のき,ケン,n2
叫,"shout,exclaim,yell",さけ.ぶ,キョウ,n2
乾,"drought,dry,dessicate,drink up,heaven,emperor","かわ.く,かわ.かす,ほ.す,ひ.る,いぬい","カン,ケン",n2
祈,"pray,wish",いの.る,キ,n2
汗,"sweat,perspire",あせ,カン,n2
湿,"damp,wet,moist","しめ.る,しめ.す,うるお.う,うるお.す","シツ,シュウ",n2
咲,"blossom,bloom","さ.く,-ざき",ショウ,n2
召,"seduce,call,send for,wear,put on,ride in,buy,eat,drink,catch (cold)",め.す,ショウ,n2
脂,"fat,grease,tallow,lard,rosin,gum,tar",あぶら,シ,n2
肌,"texture,skin,body,grain",はだ,キ,n2
鈍,"dull,slow,foolish,blunt","にぶ.い,にぶ.る,にぶ-,なま.る,なまく.ら",ドン,n2
泥,"mud,mire,adhere to,be attached to","どろ,なず.む","デイ,ナイ,デ,ニ",n2
隅,"corner,nook",すみ,グウ,n2
辛,"spicy,bitter,hot,acrid","から.い,つら.い,-づら.い,かのと",シン,n2
磨,"grind,polish,scour,improve,brush (teeth)","みが.く,す.る",マ,n2
姓,surname,"みが.く,す.る","セイ,ショウ",n2
筒,"cylinder,pipe,tube,gun barrel,sleeve",つつ,トウ,n2
粒,"grains,drop,counter for tiny particles",つぶ,リュウ,n2
畳,"tatami mat,counter for tatami mats,fold,shut up,do away with","たた.む,たたみ,かさ.なる","ジョウ,チョウ",n2
膚,"skin,body,grain,texture,disposition",はだ,フ,n2
濯,"laundry,wash,pour on,rinse","すす.ぐ,ゆす.ぐ",タク,n2
塔,"pagoda,tower,steeple","すす.ぐ,ゆす.ぐ",トウ,n2
沸,"seethe,boil,ferment,uproar,breed","わ.く,わ.かす",フツ,n2
菓,"candy,cakes,fruit","わ.く,わ.かす",カ,n2
帽,"cap,headgear","ずきん,おお.う","ボウ,モウ",n2
枯,"wither,die,dry up,be seasoned","か.れる,か.らす",コ,n2
涼,"refreshing,nice and cool","すず.しい,すず.む,すず.やか,うす.い,ひや.す,まことに",リョウ,n2
舟,"boat,ship","ふね,ふな-,-ぶね",シュウ,n2
符,"token,sign,mark,tally,charm","ふね,ふな-,-ぶね",フ,n2
