kanji,meanings,kun,on,level
拡,"broaden,extend,expand,enlarge","ひろ.がる,ひろ.げる,ひろ.める","カク,コウ",n1
肥,"fertilizer,get fat,fertile,manure,pamper","こ.える,こえ,こ.やす,こ.やし,ふと.る",ヒ,n1
枠,"frame,framework,spindle,spool,bounding-box,(kokuji)",わく,ヒ,n1
潮,"tide,salt water,opportunity","しお,うしお",チョウ,n1
俵,"bag,bale,sack,counter for bags",たわら,ヒョウ,n1
露,"dew,tears,expose,Russia",つゆ,"ロ,ロウ",n1
緩,"slacken,loosen,relax,lessen,be moderate,ease","ゆる.い,ゆる.やか,ゆる.む,ゆる.める",カン,n1
節,"node,season,period,occasion,verse,clause,stanza,honor,joint,knuckle,knob,knot,tune,melody","ふし,-ぶし,のっと","セツ,セチ",n1
鋼,steel,はがね,コウ,n1
需,"demand,request,need",はがね,ジュ,n1
縦,"vertical,length,height,self-indulgent,wayward",たて,ジュウ,n1
購,"subscription,buy",たて,コウ,n1
異,"uncommon,different,queerness,strangeness,wonderful,curious,unusual","こと,こと.なる,け",イ,n1
充,"allot,fill","あ.てる,み.たす",ジュウ,n1
眼,eyeball,"まなこ,め","ガン,ゲン",n1
貢,"tribute,support,finance",みつ.ぐ,"コウ,ク",n1
却,"instead,on the contrary,rather,step back,withdraw,retreat","かえ.って,しりぞ.く,しりぞ.ける",キャク,n1
端,"edge,origin,end,point,border,verge,cape","はし,は,はた,-ばた,はな",タン,n1
獲,"seize,get,find,earn,acquire,can,may,able to",え.る,カク,n1
併,"join,get together,unite,collective",あわ.せる,ヘイ,n1
徹,"penetrate,clear,pierce,strike home,sit up (all night)",あわ.せる,テツ,n1
衝,"collide,brunt,highway,opposition (astronomy),thrust,pierce,stab,prick",つ.く,ショウ,n1
焦,"char,hurry,impatient,irritate,burn,scorch,singe","こ.げる,こ.がす,こ.がれる,あせ.る,じ.れる,じ.らす",ショウ,n1
奪,"rob,take by force,snatch away,dispossess,plunder,usurp",うば.う,ダツ,n1
浦,"bay,creek,inlet,gulf,beach,seacoast",うら,ホ,n1
